Wall time,Step,Value
1760790240.3022141,0,40.720001220703125
1760790305.0358973,1,45.630001068115234
1760790385.1364992,2,56.0
1760790482.722152,3,65.19000244140625
1760790554.724063,4,62.7400016784668
1760790619.806695,5,62.720001220703125
1760790683.735419,6,67.73999786376953
1760790774.6867313,7,75.94000244140625
1760790868.950193,8,75.19999694824219
1760790932.7353787,9,72.13999938964844
1760790996.474118,10,78.80000305175781
1760791090.0317543,11,76.63999938964844
1760791154.1522052,12,82.7300033569336
1760791230.1518786,13,83.43000030517578
1760791305.0966256,14,80.08999633789062
1760791368.9337878,15,79.69999694824219
1760791432.5067189,16,74.38999938964844
1760791497.3580132,17,83.91999816894531
1760791582.802823,18,82.97000122070312
1760791647.6333747,19,84.22000122070312
1760791728.093098,20,85.69999694824219
1760791838.4055142,21,84.33999633789062
1760791902.87717,22,86.87999725341797
1760791985.857853,23,86.91000366210938
1760792057.657581,24,86.6500015258789
1760792121.4098775,25,87.08999633789062
1760792255.665337,26,88.51000213623047
1760792327.7923908,27,88.4000015258789
1760792391.712464,28,88.97000122070312
1760792456.4573295,29,86.81999969482422
1760792520.7986221,30,88.58000183105469
1760792584.65088,31,88.0
1760792648.6477263,32,85.97000122070312
1760792712.093249,33,90.12000274658203
1760792776.5015247,34,89.52999877929688
1760792840.4708943,35,90.2699966430664
1760792904.7304215,36,91.19000244140625
1760792969.014812,37,90.26000213623047
1760793032.3734112,38,90.19000244140625
1760793095.6918416,39,89.30999755859375
1760793159.4867213,40,90.0
1760793222.6114335,41,90.30999755859375
1760793285.6243057,42,91.25
1760793349.2120068,43,91.0
1760793412.1329603,44,91.3499984741211
1760793475.4696617,45,90.72000122070312
1760793538.8195312,46,91.88999938964844
1760793602.1087847,47,91.91999816894531
1760793665.5564857,48,91.51000213623047
1760793729.2422135,49,91.88999938964844
1760793792.3639183,50,91.86000061035156
1760793855.918272,51,91.56999969482422
1760793919.158172,52,92.47000122070312
1760793982.5819728,53,90.97000122070312
1760794046.4736972,54,91.19999694824219
1760794109.472039,55,91.25
1760794173.371842,56,92.69000244140625
1760794237.3768146,57,91.73999786376953
1760794301.087367,58,92.48999786376953
1760794364.408308,59,91.66999816894531
1760794427.695599,60,91.69000244140625
1760794491.4104617,61,91.51000213623047
1760794554.7639513,62,92.91999816894531
1760794618.7126787,63,92.80000305175781
1760794682.089688,64,92.9000015258789
1760794745.1835024,65,93.02999877929688
1760794809.0144813,66,92.94000244140625
1760794872.8998613,67,92.91000366210938
1760794935.9365852,68,92.79000091552734
1760794999.8818073,69,93.41000366210938
1760795064.1462722,70,93.62999725341797
1760795127.7338674,71,92.95999908447266
1760795191.1176558,72,93.22000122070312
1760795254.8374453,73,93.3499984741211
1760795318.0241559,74,92.01000213623047
1760795381.2263358,75,93.11000061035156
1760795445.390922,76,92.87999725341797
1760795508.4430013,77,92.4800033569336
1760795571.6472821,78,92.79000091552734
1760795634.582353,79,93.4000015258789
1760795697.3506389,80,94.37000274658203
1760795760.610548,81,93.5199966430664
1760795823.17291,82,93.93000030517578
1760795886.2202618,83,94.08999633789062
1760795949.8986626,84,93.80000305175781
1760796012.6943326,85,93.48999786376953
1760796075.4782114,86,93.72000122070312
1760796138.5082183,87,94.23999786376953
1760796201.7907703,88,93.55999755859375
1760796264.9452791,89,94.12999725341797
1760796327.7090096,90,94.41999816894531
1760796391.0184538,91,94.0199966430664
1760796454.4269788,92,93.44999694824219
1760796517.9660258,93,93.79000091552734
1760796581.447408,94,94.02999877929688
1760796645.365473,95,94.2699966430664
1760796708.4703429,96,94.68000030517578
1760796772.0958095,97,93.80999755859375
1760796835.5875945,98,93.91999816894531
1760796898.7632203,99,94.41000366210938
1760796962.1766663,100,94.11000061035156
1760797025.6092021,101,94.41999816894531
1760797088.969142,102,94.43000030517578
1760797152.682755,103,94.36000061035156
1760797216.1634338,104,94.37999725341797
1760797280.1575375,105,94.12000274658203
1760797343.2188885,106,94.5999984741211
1760797407.0700543,107,93.98999786376953
1760797470.208769,108,94.41999816894531
1760797534.125491,109,94.72000122070312
1760797597.6794536,110,94.31999969482422
1760797661.245327,111,94.5
1760797724.934644,112,94.70999908447266
1760797788.5480545,113,94.69000244140625
1760797852.3686607,114,94.54000091552734
1760797915.5599961,115,94.7699966430664
1760797979.904085,116,94.76000213623047
1760798043.3902369,117,94.5999984741211
1760798107.0123723,118,94.66999816894531
1760798170.3616602,119,94.9000015258789
1760798234.395357,120,94.76000213623047
1760798297.728341,121,95.0999984741211
1760798362.0220904,122,95.06999969482422
1760798425.9894106,123,94.54000091552734
1760798489.6320684,124,94.87999725341797
1760798553.2999735,125,95.0
1760798616.4596035,126,95.1500015258789
1760798680.007303,127,95.12999725341797
1760798743.7193468,128,95.05000305175781
1760798806.991803,129,95.0
1760798870.7505112,130,95.16000366210938
1760798935.0756514,131,95.0999984741211
1760798998.0649076,132,95.04000091552734
1760799062.4481483,133,95.3499984741211
1760799125.8120139,134,95.38999938964844
1760799189.4515533,135,95.33000183105469
1760799252.7909515,136,95.37000274658203
1760799315.9532146,137,95.23999786376953
1760799379.9532936,138,95.18000030517578
1760799443.5438738,139,95.12000274658203
1760799507.1895268,140,95.30999755859375
1760799571.5573502,141,95.45999908447266
1760799635.7120898,142,95.29000091552734
1760799699.6663911,143,95.26000213623047
1760799763.2112794,144,95.5199966430664
1760799827.0593824,145,95.36000061035156
1760799891.0073662,146,95.5199966430664
1760799953.9038632,147,95.43000030517578
1760800018.2222712,148,95.69000244140625
1760800082.0500786,149,95.5
1760800145.6532164,150,95.61000061035156
1760800208.7559521,151,95.75
1760800273.2292387,152,95.66999816894531
1760800336.6399994,153,95.44000244140625
1760800400.4876893,154,95.69000244140625
1760800464.2995126,155,95.66999816894531
1760800527.8326995,156,95.69000244140625
1760800591.7718322,157,95.8499984741211
1760800655.3173192,158,95.69000244140625
1760800719.037877,159,95.7300033569336
1760800782.5449202,160,95.58999633789062
1760800845.9812603,161,95.5999984741211
1760800910.0105927,162,95.63999938964844
1760800973.2384977,163,95.66000366210938
1760801036.5478384,164,95.76000213623047
1760801100.819426,165,95.7699966430664
1760801164.2150555,166,95.77999877929688
1760801227.8742344,167,95.6500015258789
1760801291.4468343,168,95.80000305175781
1760801354.6752448,169,95.70999908447266
1760801418.4646232,170,95.77999877929688
1760801482.0316303,171,95.88999938964844
1760801546.030841,172,95.86000061035156
1760801609.420206,173,95.87999725341797
1760801673.125813,174,95.88999938964844
1760801736.9221678,175,95.87000274658203
1760801800.0841134,176,95.83000183105469
1760801863.076097,177,95.81999969482422
1760801926.3431268,178,95.80999755859375
1760801989.9377048,179,95.97000122070312
1760802053.56164,180,95.86000061035156
1760802116.6212504,181,95.83000183105469
1760802180.7763302,182,95.8499984741211
1760802243.8422794,183,95.87000274658203
1760802307.3169231,184,95.81999969482422
1760802370.4890716,185,95.87000274658203
1760802433.9224384,186,95.94999694824219
1760802497.3999429,187,95.87999725341797
1760802560.933367,188,95.87000274658203
1760802624.2465904,189,95.8499984741211
1760802687.4886744,190,95.86000061035156
1760802750.736799,191,95.91000366210938
1760802813.795736,192,95.91999816894531
1760802878.1244385,193,95.91999816894531
1760802942.1712842,194,95.98999786376953
1760803005.8066194,195,95.94000244140625
1760803070.047379,196,95.94999694824219
1760803133.3017442,197,95.91000366210938
1760803197.1259882,198,95.88999938964844
1760803260.7092035,199,95.87999725341797
