Wall time,Step,Value
1760784913.7018673,0,43.939998626708984
1760784979.356654,1,45.18000030517578
1760785045.371781,2,58.25
1760785110.7250361,3,55.2599983215332
1760785175.200066,4,61.720001220703125
1760785239.790377,5,67.36000061035156
1760785304.6867344,6,65.16000366210938
1760785368.87635,7,73.41000366210938
1760785433.8937905,8,76.0999984741211
1760785498.3089216,9,79.37999725341797
1760785562.9303846,10,76.58000183105469
1760785627.628867,11,80.04000091552734
1760785692.1379588,12,79.05000305175781
1760785756.4805026,13,74.25
1760785820.5238287,14,79.37000274658203
1760785884.8064811,15,82.52999877929688
1760785949.3364336,16,81.0999984741211
1760786013.483194,17,82.04000091552734
1760786078.0939002,18,79.01000213623047
1760786142.009011,19,84.81999969482422
1760786206.7771828,20,83.27999877929688
1760786270.8871713,21,85.69999694824219
1760786335.4118366,22,86.44000244140625
1760786399.9192197,23,84.1500015258789
1760786464.1054652,24,85.52999877929688
1760786528.539023,25,84.02999877929688
1760786593.2255895,26,83.58999633789062
1760786657.9078853,27,87.20999908447266
1760786792.2811937,28,85.68000030517578
1760786855.6135063,29,86.6500015258789
1760786920.2816012,30,83.01000213623047
1760786982.8152468,31,87.33999633789062
1760787070.7684984,32,84.1500015258789
1760787135.28338,33,84.58000183105469
1760787199.2709012,34,87.0999984741211
1760787261.980477,35,84.72000122070312
1760787325.81348,36,82.75
1760787388.4527483,37,87.77999877929688
1760787504.8015523,38,85.91999816894531
1760787569.1052754,39,86.81999969482422
1760787634.9135776,40,86.6500015258789
1760787697.7441664,41,84.66000366210938
1760787760.8441856,42,87.2699966430664
1760787823.7692838,43,83.37000274658203
1760787887.0299728,44,86.91999816894531
1760787949.4529796,45,87.16999816894531
1760788012.7399142,46,86.69000244140625
1760788075.1981065,47,85.45999908447266
1760788138.5305789,48,87.4000015258789
1760788202.1449678,49,87.7699966430664
1760788268.722321,50,87.33999633789062
1760788331.815551,51,87.02999877929688
1760788396.430218,52,86.94999694824219
1760788460.2283745,53,88.43000030517578
1760788563.374123,54,87.12999725341797
1760788626.5099344,55,86.69000244140625
1760788688.9014661,56,86.83999633789062
1760788751.1914508,57,86.73999786376953
1760788813.288438,58,88.1500015258789
1760788877.6612582,59,85.63999938964844
1760788941.0879493,60,87.06999969482422
1760789003.905717,61,87.12999725341797
1760789066.513309,62,87.83999633789062
1760789128.8130815,63,85.80999755859375
1760789191.4486735,64,87.4000015258789
1760789253.8680892,65,85.83999633789062
1760789316.8062608,66,87.58999633789062
1760789379.0562866,67,87.41000366210938
1760789441.4450428,68,87.94000244140625
1760789504.4371655,69,87.94999694824219
1760789566.803734,70,89.93000030517578
1760789664.273136,71,89.95999908447266
1760789734.4427838,72,90.13999938964844
1760789803.4644675,73,89.3499984741211
1760789866.005797,74,90.22000122070312
1760789948.034458,75,90.16000366210938
1760790010.8080668,76,89.87999725341797
1760790074.2389247,77,90.16000366210938
1760790136.6477194,78,89.37000274658203
1760790199.3068695,79,89.87999725341797
1760790261.9226766,80,90.1500015258789
1760790324.492603,81,89.8499984741211
1760790387.6356459,82,90.19999694824219
1760790450.0906196,83,89.83999633789062
1760790513.0204148,84,89.83999633789062
1760790577.3650866,85,89.66000366210938
1760790640.2393506,86,90.25
1760790718.8141205,87,90.30000305175781
1760790833.0489924,88,90.19000244140625
1760790895.9888504,89,89.51000213623047
1760790959.1275136,90,90.31999969482422
1760791038.697462,91,89.18000030517578
1760791101.3768213,92,90.02999877929688
1760791163.8673692,93,90.0199966430664
1760791226.1047401,94,89.45999908447266
1760791288.5193076,95,89.80000305175781
1760791351.0074766,96,89.58999633789062
1760791414.3886733,97,90.04000091552734
1760791478.3372695,98,89.7699966430664
1760791540.7247064,99,90.08999633789062
1760791603.6108818,100,89.43000030517578
1760791665.96134,101,90.08999633789062
1760791728.7666023,102,89.9000015258789
1760791791.140578,103,89.44999694824219
1760791853.320284,104,87.62999725341797
1760791916.0445962,105,89.66999816894531
1760791978.755783,106,89.04000091552734
1760792041.4970548,107,91.23999786376953
1760792127.2636368,108,90.68000030517578
1760792190.3383121,109,91.3499984741211
1760792275.7177374,110,91.41000366210938
1760792347.9611712,111,91.12999725341797
1760792410.5547504,112,90.88999938964844
1760792472.7130256,113,90.47000122070312
1760792535.2258658,114,90.41000366210938
1760792597.601074,115,90.91999816894531
1760792659.9064522,116,90.63999938964844
1760792722.1889017,117,91.0999984741211
1760792784.498134,118,91.5199966430664
