Wall time,Step,Value
1760954183.2197855,0,18.479999542236328
1760954313.5770059,1,23.860000610351562
1760954442.803416,2,29.969999313354492
1760954573.9679525,3,37.93000030517578
1760954704.6522624,4,42.380001068115234
1760954835.178101,5,44.18000030517578
1760954967.4037392,6,48.290000915527344
1760955099.2162697,7,54.5
1760955230.4863033,8,57.470001220703125
1760955361.3660693,9,56.880001068115234
1760955493.2445552,10,54.849998474121094
1760955623.640791,11,61.7599983215332
1760955754.6492097,12,65.27999877929688
1760955884.3052766,13,66.27999877929688
1760956015.458193,14,69.0999984741211
1760956144.6927292,15,67.63999938964844
1760956275.4411764,16,69.33999633789062
1760956406.389032,17,70.69000244140625
1760956544.214874,18,73.33999633789062
1760956683.7947423,19,72.8499984741211
1760956830.2069995,20,78.54000091552734
1760956996.9901106,21,76.36000061035156
1760957164.523753,22,77.62000274658203
1760957329.9534512,23,75.5999984741211
1760957488.202117,24,79.38999938964844
1760957647.5918062,25,78.66999816894531
1760957806.0393093,26,79.66000366210938
1760957964.8056505,27,80.12999725341797
1760958123.9082525,28,79.83000183105469
1760958282.5747385,29,81.25
1760958440.2275038,30,78.38999938964844
1760958600.0290413,31,78.7300033569336
1760958760.396283,32,82.33000183105469
1760958918.0429225,33,82.52999877929688
1760959078.2338624,34,82.33000183105469
1760959236.5601413,35,81.12000274658203
1760959396.6966217,36,83.16000366210938
1760959553.458861,37,82.43000030517578
1760959711.8685179,38,82.9800033569336
1760959869.5639398,39,83.44999694824219
1760960028.9871473,40,84.69000244140625
1760960189.7634914,41,84.93000030517578
1760960347.890792,42,82.86000061035156
1760960507.5627556,43,84.69999694824219
1760960666.90599,44,84.12999725341797
1760960824.0517998,45,80.20999908447266
1760960982.878058,46,83.05000305175781
1760961141.810489,47,85.8499984741211
1760961308.9892454,48,85.77999877929688
1760961466.9621873,49,87.2300033569336
1760961625.4015567,50,86.7300033569336
1760961793.6545649,51,84.87000274658203
1760961974.628698,52,87.16000366210938
1760962159.6004772,53,85.55999755859375
1760962343.6702585,54,78.48999786376953
1760962530.2457588,55,87.29000091552734
1760962714.3024268,56,87.16999816894531
1760962899.1701303,57,87.72000122070312
1760963086.6512733,58,85.26000213623047
1760963272.8907647,59,86.91999816894531
1760963457.5340304,60,86.8499984741211
1760963643.806685,61,86.87000274658203
1760963828.8733482,62,85.25
1760964013.2273781,63,86.81999969482422
1760964196.4799607,64,87.86000061035156
1760964382.5578184,65,84.33000183105469
1760964566.2980907,66,86.61000061035156
1760964751.766972,67,87.06999969482422
1760964937.0194652,68,87.66999816894531
1760965121.3689177,69,85.48999786376953
1760965305.075501,70,87.41999816894531
1760965489.3295755,71,88.58000183105469
1760965674.2290685,72,89.4800033569336
1760965859.7388456,73,87.30999755859375
1760966046.5208287,74,88.68000030517578
1760966230.599368,75,88.75
1760966417.386642,76,88.66000366210938
1760966601.287414,77,88.83999633789062
1760966786.9916475,78,88.63999938964844
1760966970.4754527,79,90.05000305175781
1760967155.663848,80,88.25
1760967338.0754323,81,89.54000091552734
1760967524.0998611,82,89.75
1760967707.71502,83,87.87999725341797
1760967892.6819963,84,90.25
1760968078.0835392,85,90.87000274658203
1760968263.5492692,86,87.98999786376953
1760968448.0915985,87,88.63999938964844
1760968632.264057,88,88.94999694824219
1760968818.7558503,89,89.05999755859375
