Wall time,Step,Value
1760766122.31618,0,25.979999542236328
1760766199.5963888,1,43.459999084472656
1760766276.6320183,2,42.369998931884766
1760766354.718954,3,55.560001373291016
1760766433.783546,4,51.959999084472656
1760766511.220574,5,60.790000915527344
1760766590.8580272,6,69.56999969482422
1760766668.2412393,7,71.20999908447266
1760766746.5735672,8,72.7699966430664
1760766825.1718807,9,73.66999816894531
1760766903.4993374,10,75.70999908447266
1760766981.9756517,11,66.08999633789062
1760767060.5315413,12,74.44000244140625
1760767139.225387,13,78.44000244140625
1760767218.0228446,14,76.05000305175781
1760767295.8960516,15,79.19000244140625
1760767375.6287522,16,81.1500015258789
1760767463.3327494,17,82.81999969482422
1760767553.3654253,18,82.05000305175781
1760767638.7582316,19,81.5999984741211
1760767725.134364,20,80.30000305175781
1760767810.6522865,21,80.58000183105469
1760767897.2927759,22,78.72000122070312
1760767983.4169495,23,81.58000183105469
1760768069.5732992,24,85.19000244140625
1760768154.9021645,25,86.45999908447266
1760768240.1776206,26,87.22000122070312
1760768325.2333639,27,83.72000122070312
1760768411.7463155,28,82.43000030517578
1760768496.918552,29,83.37000274658203
1760768583.890663,30,87.20999908447266
1760768670.4252124,31,85.33999633789062
1760768755.7873218,32,87.23999786376953
1760768842.4719481,33,87.2699966430664
1760768928.1963863,34,88.87000274658203
1760769014.261214,35,80.77999877929688
1760769100.7809646,36,84.83999633789062
1760769186.693914,37,86.80000305175781
1760769272.1615932,38,88.68000030517578
1760769357.6936247,39,84.91999816894531
1760769444.676665,40,86.91000366210938
1760769530.3713787,41,84.30999755859375
1760769617.3674722,42,84.55000305175781
1760769704.138778,43,85.5999984741211
1760769789.469115,44,87.81999969482422
1760769875.665528,45,81.38999938964844
1760769960.7689714,46,87.52999877929688
1760770047.3979614,47,87.66999816894531
1760770132.1081846,48,89.87000274658203
1760770216.7864704,49,84.97000122070312
1760770300.5096455,50,89.69999694824219
1760770384.1666865,51,89.79000091552734
1760770467.2046044,52,89.51000213623047
1760770551.6399014,53,89.73999786376953
1760770635.3007207,54,90.80000305175781
1760770719.380169,55,88.55000305175781
1760770802.4806643,56,90.98999786376953
1760770886.692912,57,87.72000122070312
1760770970.0383773,58,89.91999816894531
1760771054.015608,59,90.56999969482422
1760771138.0568333,60,88.87000274658203
1760771221.5831513,61,88.70999908447266
1760771305.0571282,62,89.62000274658203
1760771388.7963839,63,88.73999786376953
1760771471.9743936,64,89.31999969482422
1760771554.696988,65,90.86000061035156
1760771637.9885375,66,91.06999969482422
1760771721.4119906,67,90.95999908447266
1760771806.0741463,68,91.62999725341797
1760771889.1435778,69,89.91999816894531
1760771973.3792043,70,89.3499984741211
1760772056.6679637,71,90.08999633789062
1760772140.9955523,72,91.91000366210938
1760772224.928817,73,91.22000122070312
1760772309.0520287,74,91.94999694824219
1760772393.2102911,75,91.73999786376953
1760772476.7241013,76,90.5199966430664
1760772559.8189328,77,90.83999633789062
1760772643.5928726,78,90.9800033569336
1760772727.7818906,79,91.79000091552734
1760772812.2750392,80,91.62999725341797
1760772896.5961823,81,90.62000274658203
1760772980.3007603,82,91.23999786376953
1760773065.2312884,83,90.20999908447266
1760773148.8005471,84,91.36000061035156
1760773233.178735,85,92.08000183105469
1760773316.801819,86,92.79000091552734
1760773400.846262,87,90.33999633789062
1760773485.9439468,88,91.3499984741211
1760773569.427369,89,92.97000122070312
1760773654.3387082,90,89.37000274658203
1760773737.198118,91,92.22000122070312
1760773821.0770614,92,92.37999725341797
1760773904.7816339,93,90.66000366210938
1760773988.182526,94,93.44999694824219
1760774072.8282564,95,91.31999969482422
1760774157.7340927,96,93.25
1760774240.86264,97,92.66999816894531
1760774325.2410498,98,92.37000274658203
1760774408.6012888,99,92.7699966430664
1760774491.9175725,100,93.05999755859375
1760774576.6662884,101,93.06999969482422
1760774659.8851027,102,92.13999938964844
1760774743.8025885,103,93.51000213623047
1760774827.1754158,104,91.68000030517578
1760774911.2078998,105,92.94000244140625
1760774994.4921954,106,93.2699966430664
1760775078.0178087,107,93.58000183105469
1760775161.8113725,108,92.38999938964844
1760775246.3326292,109,93.11000061035156
1760775329.3349428,110,92.19999694824219
1760775414.4722383,111,92.72000122070312
1760775497.9740167,112,91.9800033569336
1760775581.3650234,113,93.83999633789062
1760775665.8312707,114,93.4000015258789
1760775748.3234036,115,93.9000015258789
1760775832.2524555,116,93.47000122070312
1760775915.555085,117,93.63999938964844
1760775999.8149126,118,93.08999633789062
1760776083.130751,119,92.54000091552734
1760776166.8863697,120,93.06999969482422
1760776250.1808188,121,93.61000061035156
1760776335.2447293,122,93.52999877929688
1760776417.9144273,123,93.69999694824219
1760776501.175141,124,93.08999633789062
1760776585.7106278,125,93.77999877929688
1760776668.8044555,126,93.75
1760776753.2957578,127,94.58000183105469
1760776836.4047928,128,94.1500015258789
1760776920.8219616,129,94.38999938964844
1760777004.7821147,130,93.44999694824219
1760777088.0177717,131,93.8499984741211
1760777171.9655178,132,94.4000015258789
1760777254.471505,133,94.41000366210938
1760777338.3488684,134,94.5
1760777422.614209,135,94.88999938964844
1760777506.6377752,136,94.29000091552734
1760777589.6440551,137,94.62000274658203
1760777673.1935866,138,94.83000183105469
1760777755.3717694,139,94.44999694824219
1760777837.487222,140,94.69000244140625
1760777921.2426834,141,94.94000244140625
1760778004.6930647,142,94.76000213623047
1760778089.3908627,143,95.23999786376953
1760778171.975687,144,95.16000366210938
1760778255.5704758,145,95.29000091552734
1760778339.7769372,146,95.05999755859375
1760778423.2684472,147,95.29000091552734
1760778507.6573768,148,94.97000122070312
1760778590.778954,149,95.02999877929688
1760778675.2243774,150,95.19999694824219
1760778758.724176,151,95.11000061035156
1760778842.0000648,152,95.27999877929688
1760778925.9986413,153,95.0
1760779008.7983518,154,95.23999786376953
1760779092.9772384,155,95.54000091552734
1760779178.0116212,156,95.5
1760779260.7499785,157,95.44000244140625
1760779346.0121744,158,95.19999694824219
1760779432.0408504,159,95.43000030517578
1760779517.143051,160,95.62000274658203
1760779603.4549465,161,95.62000274658203
1760779688.333724,162,95.45999908447266
1760779775.7281134,163,95.66000366210938
1760779861.9486694,164,95.7699966430664
1760779949.1137068,165,95.79000091552734
1760780035.019532,166,95.66999816894531
1760780117.5088723,167,95.88999938964844
1760780200.4766438,168,95.94999694824219
1760780282.980888,169,95.9800033569336
1760780365.5526018,170,95.88999938964844
1760780447.3605547,171,95.98999786376953
1760780529.2894669,172,95.62999725341797
1760780611.579337,173,95.94999694824219
1760780694.54919,174,96.01000213623047
1760780779.4772155,175,95.93000030517578
1760780865.2308254,176,95.94999694824219
1760780950.4353302,177,95.88999938964844
1760781036.49702,178,96.01000213623047
1760781121.4731946,179,96.11000061035156
1760781207.1930065,180,96.12000274658203
1760781293.5530887,181,96.02999877929688
1760781378.242063,182,95.95999908447266
1760781463.1390386,183,95.97000122070312
1760781547.8807623,184,95.9800033569336
1760781632.7839913,185,95.98999786376953
1760781719.0442054,186,96.08999633789062
1760781803.763642,187,96.12999725341797
1760781889.7282448,188,96.08000183105469
1760781974.2320645,189,96.13999938964844
1760782058.4192393,190,96.0999984741211
1760782141.9470856,191,96.06999969482422
1760782226.5073721,192,96.08999633789062
1760782311.125363,193,96.08000183105469
1760782393.8011887,194,96.05999755859375
1760782477.450755,195,96.12999725341797
1760782561.4016702,196,96.12999725341797
1760782644.8251917,197,96.05999755859375
1760782730.428942,198,96.08000183105469
1760782815.7179844,199,96.11000061035156
